food,cuisine,category,display_amount,grams_per_display,protein_g_per_display,carbohydrates_g_per_display,fats_g_per_display,calories_kcal_per_display,protein_g_per_100g,carbohydrates_g_per_100g,fats_g_per_100g,calories_kcal_per_100g,source_primary,source_validation,validation_status,notes
Veg Shawarma,Arabian,meal,1 wrap,220,10.0,34.0,10.0,260.0,4.55,15.45,4.55,118.18,Standard recipe estimate based on common shawarma wrap proportions,USDA FoodData Central comparable wrap items,recipe-estimate,Vegetable wrap with tahini/garlic sauce.
Aloo Posto,Bengali,meal,1 bowl,150,3.0,14.0,8.0,140.0,2.0,9.33,5.33,93.33,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Potato with poppy seed paste.
Bengali Khichuri,Bengali,meal,1 plate,250,8.0,40.0,10.0,282.0,3.2,16.0,4.0,112.8,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Moong dal and rice khichdi.
Shorshe Ilish,Bengali,meal,1 piece,180,24.0,4.0,18.0,274.0,13.33,2.22,10.0,152.22,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Hilsa fish in mustard gravy.
Chicken Chow Mein,Chinese,meal,1 plate,250,17.0,44.0,10.0,350.0,6.8,17.6,4.0,140.0,Standard recipe estimate,USDA FoodData Central noodle reference,recipe-estimate,Chicken stir-fried noodles.
Chow Mein,Chinese,meal,1 plate,250,22.5,130.0,35.0,900.0,9.0,52.0,14.0,360.0,USDA FoodData Central + recipe estimate,Cross-checked against standard dish composition; fillings vary,estimated,Average chow mein.
Kung Pao Chicken,Chinese,meal,1 bowl,220,20.0,15.0,18.0,300.0,9.09,6.82,8.18,136.36,Standard recipe estimate,USDA FoodData Central stir-fry reference,recipe-estimate,Spicy chicken with peanuts.
Veg Chow Mein,Chinese,meal,1 plate,250,7.0,44.0,9.0,300.0,2.8,17.6,3.6,120.0,Standard recipe estimate,USDA FoodData Central noodle reference,recipe-estimate,Stir-fried vegetable noodles.
Vegetable Fried Rice,Chinese,meal,1 plate,250,16.25,130.0,27.5,800.0,6.5,52.0,11.0,320.0,USDA FoodData Central + recipe estimate,Cross-checked against standard dish composition; fillings vary,estimated,Average veg fried rice.
Burger,Fast Food,meal,1 burger,180,21.6,45.0,21.6,468.0,12.0,25.0,12.0,260.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,Generic burger.
Cheese Burger,Fast Food,meal,1 piece,190,15.0,31.0,18.0,380.0,7.89,16.32,9.47,200.0,USDA FoodData Central,USDA FoodData Central burger reference,cross-validated,Cheeseburger.
Chicken Burger,Fast Food,meal,1 piece,180,18.0,30.0,14.0,340.0,10.0,16.67,7.78,188.89,USDA FoodData Central,USDA FoodData Central burger reference,cross-validated,Chicken burger.
Fried Chicken,Fast Food,meal,1 piece,120,25.2,13.2,16.8,336.0,21.0,11.0,14.0,280.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,Breaded fried chicken.
Hot Dog,Fast Food,meal,1 hot dog,120,12.0,21.6,16.8,300.0,10.0,18.0,14.0,250.0,USDA FoodData Central + recipe estimates,USDA FoodData Central + recipe estimates,estimated,Hot dog with bun.
Paneer Burger,Fast Food,meal,1 piece,180,14.0,28.0,16.0,330.0,7.78,15.56,8.89,183.33,Standard recipe estimate,USDA FoodData Central burger reference,recipe-estimate,Paneer burger.
Veg Burger,Fast Food,meal,1 piece,150,8.0,28.0,10.0,250.0,5.33,18.67,6.67,166.67,USDA FoodData Central,USDA FoodData Central burger reference,cross-validated,Vegetable burger.
Dal Dhokli,Gujarati,meal,1 bowl,250,15.0,50.0,15.0,375.0,6.0,20.0,6.0,150.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Wheat dumplings in dal.
Handvo,Gujarati,meal,1 piece,100,6.0,25.0,11.0,215.0,6.0,25.0,11.0,215.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Savory lentil-rice cake.
Sev Tameta,Gujarati,meal,1 bowl,150,4.5,18.0,15.0,225.0,3.0,12.0,10.0,150.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Tomato gravy with sev.
Sev Usal,Gujarati,meal,1 bowl,200,8.0,35.0,14.0,298.0,4.0,17.5,7.0,149.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Usal topped with sev.
Thepla with Curd,Gujarati,meal,1 serving,160,8.0,28.0,8.0,216.0,5.0,17.5,5.0,135.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Thepla served with curd.
Undhiyu,Gujarati,meal,1 bowl,250,7.5,35.0,20.0,325.0,3.0,14.0,8.0,130.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Mixed vegetable curry.
Egg Curry,Indian,meal,1 bowl,250,15.0,8.0,18.0,250.0,6.0,3.2,7.2,100.0,Standard recipe estimate,IFCT 2017 + USDA FoodData Central curry reference,recipe-estimate,Eggs in spiced gravy.
Chicken Fried Rice,Indo-Chinese,meal,1 plate,250,18.0,45.0,10.0,350.0,7.2,18.0,4.0,140.0,Standard recipe estimate,USDA FoodData Central fried rice reference,recipe-estimate,Chicken fried rice.
Chicken Manchurian,Indo-Chinese,meal,1 cup,200,34.0,36.0,30.0,560.0,17.0,18.0,15.0,280.0,USDA FoodData Central + recipe estimate,Cross-checked against standard dish composition; fillings vary,estimated,Chicken manchurian.
Chilli Chicken,Indo-Chinese,meal,1 plate,220,18.0,18.0,16.0,300.0,8.18,8.18,7.27,136.36,Standard recipe estimate,USDA FoodData Central chicken stir-fry reference,recipe-estimate,Spicy chicken stir fry.
Chilli Paneer,Indo-Chinese,meal,1 cup,200,28.0,36.0,36.0,560.0,14.0,18.0,18.0,280.0,USDA FoodData Central + recipe estimate,Cross-checked against standard dish composition; fillings vary,estimated,"Chilli paneer, average."
Hakka Noodles,Indo-Chinese,meal,1 plate,250,8.0,45.0,10.0,320.0,3.2,18.0,4.0,128.0,Standard recipe estimate,USDA FoodData Central noodle reference,recipe-estimate,Stir-fried noodles.
Schezwan Noodles,Indo-Chinese,meal,1 plate,250,8.0,48.0,11.0,330.0,3.2,19.2,4.4,132.0,Standard recipe estimate,USDA FoodData Central noodle reference,recipe-estimate,Spicy noodles.
Veg Fried Rice,Indo-Chinese,meal,1 plate,250,7.0,45.0,9.0,300.0,2.8,18.0,3.6,120.0,Standard recipe estimate,USDA FoodData Central fried rice reference,recipe-estimate,Vegetable fried rice.
Veg Manchurian,Indo-Chinese,meal,1 cup,200,16.0,40.0,24.0,440.0,8.0,20.0,12.0,220.0,USDA FoodData Central + recipe estimate,Cross-checked against standard dish composition; fillings vary,estimated,Veg manchurian gravy/fry.
Lasagna,Italian,meal,1 piece,180,14.4,27.0,10.8,270.0,8.0,15.0,6.0,150.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Generic meat/veg lasagna.
Pasta,Italian,meal,1 cup,140,8.12,43.26,1.4,221.2,5.8,30.9,1.0,158.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,"Cooked pasta, generic."
Pizza,Italian,meal,1 slice,107,12.2,35.63,10.81,284.6,11.4,33.3,10.1,266.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,"Cheese pizza slice, average."
Risotto,Italian,meal,1 bowl,220,6.6,55.0,11.0,330.0,3.0,25.0,5.0,150.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Creamy rice risotto.
Spaghetti,Italian,meal,1 cup,140,8.12,43.26,1.4,221.2,5.8,30.9,1.0,158.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Cooked spaghetti.
California Roll,Japanese,meal,1 roll (8 pieces),240,10.0,38.0,7.0,270.0,4.17,15.83,2.92,112.5,Standard recipe estimate,USDA FoodData Central + FAO/INFOODS comparable rice-roll reference,recipe-estimate,Average California roll.
Katsu Curry,Japanese,meal,1 serving,350,18.0,50.0,18.0,450.0,5.14,14.29,5.14,128.57,Standard recipe estimate,USDA FoodData Central curry reference,recipe-estimate,Japanese curry with cutlet.
Ramen,Japanese,meal,1 bowl,450,15.0,65.0,15.0,480.0,3.33,14.44,3.33,106.67,Standard recipe estimate,USDA FoodData Central noodle soup reference,recipe-estimate,Average ramen bowl.
Sushi (Average),Japanese,meal,6 pieces,180,18.0,54.0,12.6,432.0,10.0,30.0,7.0,240.0,USDA FoodData Central + recipe estimate,Cross-checked against standard dish composition; fillings vary,estimated,Average sushi assortment.
Sushi Roll (Average),Japanese,meal,1 roll (8 pieces),250,13.0,40.0,6.0,280.0,5.2,16.0,2.4,112.0,Standard recipe estimate,USDA FoodData Central + FAO/INFOODS comparable rice-roll reference,recipe-estimate,Average maki roll.
Teriyaki Chicken Bowl,Japanese,meal,1 bowl,350,70.0,182.0,35.0,1470.0,20.0,52.0,10.0,420.0,USDA FoodData Central + recipe estimate,Cross-checked against standard dish composition; fillings vary,estimated,Average teriyaki chicken bowl.
Udon,Japanese,meal,1 bowl,400,12.0,58.0,10.0,390.0,3.0,14.5,2.5,97.5,Standard recipe estimate,USDA FoodData Central noodle soup reference,recipe-estimate,Average udon bowl.
Tomato Bath,Karnataka,meal,1 cup,200,8.0,80.0,18.0,520.0,4.0,40.0,9.0,260.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,"Tomato rice, average."
Wangibath,Karnataka,meal,1 cup,200,9.0,76.0,20.0,560.0,4.5,38.0,10.0,280.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,"Brinjal rice, average."
Bibimbap,Korean,meal,1 bowl,400,18.0,60.0,12.0,470.0,4.5,15.0,3.0,117.5,Standard recipe estimate,USDA FoodData Central rice bowl reference,recipe-estimate,Mixed rice bowl.
Japchae,Korean,meal,1 plate,250,6.0,40.0,8.0,270.0,2.4,16.0,3.2,108.0,Standard recipe estimate,USDA FoodData Central noodle reference,recipe-estimate,Glass noodles with vegetables.
Kimbap,Korean,meal,1 roll,250,10.0,45.0,8.0,300.0,4.0,18.0,3.2,120.0,Standard recipe estimate,USDA FoodData Central rice roll reference,recipe-estimate,Seaweed rice roll.
Kimchi Fried Rice,Korean,meal,1 plate,300,10.0,50.0,12.0,340.0,3.33,16.67,4.0,113.33,Standard recipe estimate,USDA FoodData Central fried rice reference,recipe-estimate,Rice cooked with kimchi.
Amti,Marathi,meal,1 bowl,200,9.0,24.0,8.0,180.0,4.5,12.0,4.0,90.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Maharashtrian dal curry.
Bharli Vangi,Marathi,meal,1 bowl,150,3.75,13.5,12.0,165.0,2.5,9.0,8.0,110.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Stuffed eggplant curry.
Kolhapuri Chicken,Marathi,meal,1 bowl,200,25.0,8.0,18.0,294.0,12.5,4.0,9.0,147.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Spicy chicken curry.
Kolhapuri Mutton,Marathi,meal,1 bowl,200,24.0,6.0,20.0,300.0,12.0,3.0,10.0,150.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Spicy mutton curry.
Misal Pav,Marathi,meal,1 plate,250,17.5,70.0,30.0,600.0,7.0,28.0,12.0,240.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Spicy sprout curry with bread.
Pithla Bhakri,Marathi,meal,1 plate,300,10.0,40.0,12.0,308.0,3.33,13.33,4.0,102.67,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Gram flour gravy with flatbread.
Zunka Bhakri,Marathi,meal,1 plate,300,12.0,38.0,12.0,308.0,4.0,12.67,4.0,102.67,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Dry gram flour curry with bhakri.
Shawarma Plate,Middle Eastern,meal,1 plate,400,96.0,220.0,100.0,2480.0,24.0,55.0,25.0,620.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,"Shawarma with rice/fries/salad, average."
Bamboo Shoot Curry,North Eastern,meal,1 bowl,150,3.0,7.5,4.5,90.0,2.0,5.0,3.0,60.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Light bamboo-shoot dish.
Chicken Thukpa,North Eastern,meal,1 bowl,250,12.5,60.0,12.5,400.0,5.0,24.0,5.0,160.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Chicken noodle soup.
Fish Curry,North Eastern,meal,1 bowl,200,36.0,12.0,20.0,380.0,18.0,6.0,10.0,190.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Regional fish curry.
Fish Tenga,North Eastern,meal,1 bowl,200,18.0,8.0,8.0,176.0,9.0,4.0,4.0,88.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Sour Assamese fish curry.
Pork Curry,North Eastern,meal,1 bowl,200,40.0,8.0,32.0,500.0,20.0,4.0,16.0,250.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Regional pork curry.
Smoked Pork Curry,North Eastern,meal,1 bowl,200,20.0,5.0,20.0,280.0,10.0,2.5,10.0,140.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,"Pork curry, smoky preparation."
Thukpa Chicken,North Eastern,meal,1 bowl,300,18.0,42.0,8.0,312.0,6.0,14.0,2.67,104.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Chicken noodle soup.
Thukpa Veg,North Eastern,meal,1 bowl,300,8.0,45.0,6.0,266.0,2.67,15.0,2.0,88.67,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Vegetable noodle soup.
Veg Thukpa,North Eastern,meal,1 bowl,250,8.75,55.0,10.0,350.0,3.5,22.0,4.0,140.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Noodle soup.
Aloo Dum Biryani,North Indian,meal,1 plate,300,7.0,55.0,12.0,380.0,2.33,18.33,4.0,126.67,Standard recipe estimate,IFCT 2017 + USDA FoodData Central biryani reference,recipe-estimate,Potato biryani average.
Aloo Gobi,North Indian,meal,1 bowl,180,4.0,16.0,8.0,152.0,2.22,8.89,4.44,84.44,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Potato cauliflower curry.
Baingan Bharta,North Indian,meal,1 bowl,180,3.0,14.0,8.0,140.0,1.67,7.78,4.44,77.78,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Smoky mashed eggplant curry.
Bhindi Masala,North Indian,meal,1 bowl,150,3.0,10.0,7.0,115.0,2.0,6.67,4.67,76.67,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Okra stir-fry/curry.
Butter Chicken,North Indian,meal,1 bowl,200,36.0,16.0,40.0,540.0,18.0,8.0,20.0,270.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Chicken in butter-cream gravy.
Chicken Biryani,North Indian,meal,1 plate,300,16.5,72.0,24.0,480.0,5.5,24.0,8.0,160.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Typical mixed chicken biryani.
Chole,North Indian,meal,1 bowl,200,16.0,48.0,10.0,300.0,8.0,24.0,5.0,150.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Chickpea curry.
Chole Bhature,North Indian,meal,1 plate,400,16.0,72.0,24.0,568.0,4.0,18.0,6.0,142.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,"Chickpeas with fried bread, plated meal."
Chole Rice,North Indian,meal,1 plate,350,15.0,70.0,8.0,412.0,4.29,20.0,2.29,117.71,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Chickpeas with rice.
Dal Makhani,North Indian,meal,1 bowl,200,10.0,20.0,14.0,246.0,5.0,10.0,7.0,123.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Creamy black lentil curry.
Dal Tadka,North Indian,meal,1 bowl,200,11.0,24.0,10.0,220.0,5.5,12.0,5.0,110.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Cooked lentils with tempering.
Kadhi Pakora,North Indian,meal,1 bowl,220,7.0,18.0,10.0,190.0,3.18,8.18,4.55,86.36,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Yogurt curry with fritters.
Matar Paneer,North Indian,meal,1 bowl,200,12.0,12.0,14.0,222.0,6.0,6.0,7.0,111.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Peas and paneer curry.
Palak Paneer,North Indian,meal,1 bowl,200,12.0,10.0,16.0,232.0,6.0,5.0,8.0,116.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Spinach paneer curry.
Paneer Bhurji,North Indian,meal,1 bowl,180,15.0,8.0,18.0,254.0,8.33,4.44,10.0,141.11,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Scrambled spiced paneer.
Paneer Butter Masala,North Indian,meal,1 bowl,200,16.0,20.0,36.0,480.0,8.0,10.0,18.0,240.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Creamy paneer curry.
Rajma Chawal,North Indian,meal,1 plate,400,18.0,74.0,8.0,440.0,4.5,18.5,2.0,110.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Kidney beans with rice.
Rajma Curry,North Indian,meal,1 bowl,200,17.0,44.0,8.0,280.0,8.5,22.0,4.0,140.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Kidney bean curry.
Sarson da Saag,North Indian,meal,1 bowl,180,4.0,12.0,8.0,136.0,2.22,6.67,4.44,75.56,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Mustard greens curry.
Tandoori Chicken,North Indian,meal,1 piece,120,28.0,3.0,7.0,187.0,23.33,2.5,5.83,155.83,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Tandoor-roasted chicken portion.
Vegetable Biryani,North Indian,meal,1 plate,300,11.4,72.0,18.0,435.0,3.8,24.0,6.0,145.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Typical mixed vegetable biryani.
Vegetable Khichdi,North Indian,meal,1 bowl,250,8.75,50.0,8.75,300.0,3.5,20.0,3.5,120.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Rice-lentil khichdi.
Bisibelebath,South Indian,meal,1 plate,300,8.0,50.0,10.0,322.0,2.67,16.67,3.33,107.33,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Rice-lentil-vegetable one-pot meal.
Chicken Chettinad,South Indian,meal,1 bowl,200,24.0,6.0,18.0,282.0,12.0,3.0,9.0,141.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Spiced chicken curry.
Curd Rice,South Indian,meal,1 bowl,250,8.0,45.0,10.0,325.0,3.2,18.0,4.0,130.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Cooked rice mixed with curd.
Fish Moilee,South Indian,meal,1 bowl,200,20.0,6.0,18.0,266.0,10.0,3.0,9.0,133.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Fish curry with coconut milk.
Lemon Rice,South Indian,meal,1 plate,250,4.5,44.0,10.0,284.0,1.8,17.6,4.0,113.6,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,"Seasoned rice with lemon, curry leaves and peanuts."
Prawn Curry,South Indian,meal,1 bowl,200,20.0,6.0,14.0,230.0,10.0,3.0,7.0,115.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Prawn curry with coconut/spice base.
Puliyogare,South Indian,meal,1 cup,200,8.0,84.0,16.0,520.0,4.0,42.0,8.0,260.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Tamarind rice.
Tamarind Rice,South Indian,meal,1 plate,250,4.0,48.0,11.0,307.0,1.6,19.2,4.4,122.8,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Puliyodarai-style tamarind rice.
Paella,Spanish,meal,1 bowl,250,16.25,50.0,15.0,400.0,6.5,20.0,6.0,160.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Generic mixed paella.
Tortilla Espanola,Spanish,meal,1 slice,120,7.2,16.8,12.0,204.0,6.0,14.0,10.0,170.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Potato-egg omelette.
Kathi Roll,Street Food,meal,1 roll,200,15.0,35.0,15.0,335.0,7.5,17.5,7.5,167.5,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Paratha roll with filling.
Tofu Scramble,Vegan,meal,1 serving,150,10.0,4.0,8.0,120.0,6.67,2.67,5.33,80.0,Standard recipe estimate,USDA FoodData Central egg scramble comparable,recipe-estimate,Seasoned tofu scramble.
Baked Beans,Western,meal,1 cup,240,11.28,50.4,1.2,264.0,4.7,21.0,0.5,110.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Sweet baked beans.
Chicken Burrito,Western,meal,1 burrito,280,24.0,40.0,14.0,420.0,8.57,14.29,5.0,150.0,Standard recipe estimate,USDA FoodData Central wrap reference,recipe-estimate,Chicken burrito.
Fish and Chips,Western,meal,1 plate,350,42.0,87.5,52.5,875.0,12.0,25.0,15.0,250.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Average pub-style serving.
Paneer Burrito,Western,meal,1 burrito,270,18.0,42.0,16.0,400.0,6.67,15.56,5.93,148.15,Standard recipe estimate,USDA FoodData Central wrap reference,recipe-estimate,Paneer burrito.
Sandwich,Western,meal,1 sandwich,160,14.4,35.2,16.0,352.0,9.0,22.0,10.0,220.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Generic sandwich.
Veg Burrito,Western,meal,1 burrito,250,12.0,45.0,12.0,350.0,4.8,18.0,4.8,140.0,Standard recipe estimate,USDA FoodData Central wrap reference,recipe-estimate,Vegetable burrito.
Gujarati Kadhi,Gujarati,side dish,1 cup,200,4.0,10.0,7.0,119.0,2.0,5.0,3.5,59.5,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Thin sweet-sour yogurt curry.
Kimchi,Korean,side dish,1 cup,150,2.0,6.0,1.0,35.0,1.33,4.0,0.67,23.33,USDA FoodData Central,USDA FoodData Central fermented vegetable reference,cross-validated,Fermented cabbage.
Batata Bhaji,Marathi,side dish,1 bowl,150,3.0,18.0,7.0,147.0,2.0,12.0,4.67,98.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Spiced potato preparation.
Bamboo Shoot Curry (Northeast style),North Eastern,side dish,1 bowl,150,2.0,8.0,5.0,85.0,1.33,5.33,3.33,56.67,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Bamboo shoot vegetable curry.
Avial,South Indian,side dish,1 bowl,150,3.0,12.0,8.0,132.0,2.0,8.0,5.33,88.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Mixed vegetables in coconut-yogurt base.
Coconut Chutney,South Indian,side dish,2 tbsp,30,0.9,2.7,3.6,51.0,3.0,9.0,12.0,170.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,"Coconut chutney, averaged."
Kootu,South Indian,side dish,1 bowl,180,5.0,14.0,5.0,121.0,2.78,7.78,2.78,67.22,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Vegetable and lentil stew.
Poriyal,South Indian,side dish,1 bowl,100,2.0,6.0,4.0,68.0,2.0,6.0,4.0,68.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,"Vegetable stir-fry, lightly seasoned."
Rasam,South Indian,side dish,1 cup,240,2.4,9.6,2.4,72.0,1.0,4.0,1.0,30.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Tomato/tamarind rasam.
Rasam (spiced),South Indian,side dish,1 cup,240,1.2,5.5,1.0,35.8,0.5,2.29,0.42,14.92,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,"Tomato/tamarind rasam, thin soup."
Sambar,South Indian,side dish,1 cup,240,6.48,19.2,6.0,139.2,2.7,8.0,2.5,58.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Vegetable sambar.
Sambar (thick),South Indian,side dish,1 cup,240,5.0,14.0,4.5,116.5,2.08,5.83,1.88,48.54,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,"Vegetable sambar, lentil-based."
Thoran,South Indian,side dish,1 bowl,120,2.0,8.0,6.0,94.0,1.67,6.67,5.0,78.33,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Dry vegetable stir-fry with coconut.
Egusi Soup,African,soup,1 bowl,250,12.0,10.0,18.0,250.0,4.8,4.0,7.2,100.0,Standard recipe estimate,FAO/INFOODS + comparable soup reference,recipe-estimate,Melon seed soup.
Hot and Sour Soup,Chinese,soup,1 bowl,250,4.0,10.0,4.0,90.0,1.6,4.0,1.6,36.0,Standard recipe estimate,USDA FoodData Central soup reference,recipe-estimate,Spiced soup.
